airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No Info,13377
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,15339
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,14714
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,12373
Air India,2019-05-09,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Air India,2019-05-21,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Indigo,2019-03-24,Kolkata,Banglore,08:15:00,13:00:00,285,1.0,No Info,6303
Jet Airways,2019-03-06,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,13843
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Indigo,2019-04-15,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,6015
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Indigo,2019-04-27,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,4423
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Air India,2019-05-01,Kolkata,Banglore,05:50:00,16:15:00,2065,2.0,No Info,10991
Indigo,2019-06-15,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,3943
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,15851
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,16108
Air India,2019-05-09,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,11942
Indigo,2019-06-24,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7575
Indigo,2019-05-09,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14571
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,07:25:00,1495,2.0,In-flight meal not included,10118
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7038
Spicejet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,10056
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,No Info,14571
Indigo,2019-06-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7740
Multiple Carriers,2019-05-27,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,10407
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13727
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,9794
Indigo,2019-03-09,Delhi,Cochin,04:45:00,12:55:00,490,1.0,No Info,16162
Air Asia,2019-03-18,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,4384
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,14781
Indigo,2019-06-15,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,13377
Multiple Carriers,2019-05-15,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10529
Air India,2019-03-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5674
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1405,1.0,In-flight meal not included,11134
Indigo,2019-04-24,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Air India,2019-05-09,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8918
Air India,2019-06-12,Delhi,Cochin,07:10:00,07:40:00,1470,2.0,No Info,12488
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Spicejet,2019-06-21,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,8586
Multiple Carriers,2019-05-15,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Multiple Carriers,2019-03-21,Delhi,Cochin,09:10:00,19:15:00,605,1.0,No Info,8601
Air India,2019-03-24,Kolkata,Banglore,09:10:00,07:55:00,1365,2.0,No Info,15187
Indigo,2019-05-09,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6147
Air India,2019-05-18,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,8372
Multiple Carriers,2019-06-24,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9856
Indigo,2019-03-12,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,4148
Vistara,2019-05-18,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9555
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,9397
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Air India,2019-04-12,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5195
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,22:35:00,1525,1.0,In-flight meal not included,10031
Air India,2019-05-15,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,10651
Air India,2019-03-01,Banglore,New Delhi,11:05:00,19:50:00,525,1.0,1 Long layover,14594
Vistara,2019-06-01,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,14781
Air India,2019-03-03,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,24017
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,17024
Indigo,2019-03-27,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Air India,2019-03-18,Banglore,New Delhi,17:25:00,10:35:00,1030,2.0,No Info,12568
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,8662
Jet Airways,2019-06-06,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,11270
Indigo,2019-04-27,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Indigo,2019-03-24,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,8872
Jet Airways,2019-04-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,3897
Air India,2019-06-03,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Spicejet,2019-06-01,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5975
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,12242
Air India,2019-05-24,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No Info,12723
Multiple Carriers,2019-06-24,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14848
Air India,2019-03-12,Mumbai,Hyderabad,10:05:00,19:10:00,545,2.0,No Info,9736
Multiple Carriers,2019-05-18,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8476
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,12692
Indigo,2019-04-12,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4174
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Spicejet,2019-05-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,8073
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,6795
Indigo,2019-04-24,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5065
Indigo,2019-03-01,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,8853
Vistara,2019-03-24,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,11913
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,14714
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,8085
Jet Airways,2019-05-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14231
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14781
Air India,2019-03-18,Banglore,New Delhi,08:50:00,16:30:00,1900,2.0,No Info,10835
Multiple Carriers,2019-06-27,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7005
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:30:00,725,1.0,No Info,13555
Indigo,2019-06-01,Kolkata,Banglore,09:35:00,12:10:00,155,0.0,No Info,4804
Multiple Carriers,2019-06-06,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Jet Airways,2019-03-03,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,No Info,19266
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,8586
Goair,2019-05-18,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4632
Spicejet,2019-05-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Indigo,2019-06-15,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10112
Indigo,2019-04-01,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Air Asia,2019-05-21,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Air India,2019-03-21,Delhi,Cochin,06:50:00,19:15:00,2185,2.0,No Info,10756
Jet Airways,2019-05-27,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,In-flight meal not included,12872
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,14151
Indigo,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,7503
Multiple Carriers,2019-05-15,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,8073
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14231
Jet Airways,2019-06-21,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No Info,8040
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,15078
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Vistara,2019-03-06,Mumbai,Hyderabad,10:25:00,22:55:00,750,1.0,No Info,12395
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,9663
Jet Airways,2019-06-27,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Indigo,2019-04-27,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Air India,2019-06-15,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7384
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Vistara,2019-04-21,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8586
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,485,2.0,In-flight meal not included,8367
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,14714
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,15554
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,No Info,16736
Air India,2019-04-06,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5176
Air India,2019-05-09,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,10203
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,05:05:00,1045,1.0,No Info,22270
Spicejet,2019-06-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-18,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4545
Indigo,2019-05-27,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,15:30:00,505,1.0,No Info,14486
Air India,2019-03-12,Banglore,New Delhi,08:50:00,09:25:00,1475,2.0,No Info,12725
Indigo,2019-03-09,Delhi,Cochin,21:05:00,01:45:00,280,1.0,No Info,6937
Indigo,2019-05-12,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,5000
Spicejet,2019-06-09,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Air India,2019-03-24,Kolkata,Banglore,20:30:00,23:15:00,1605,1.0,No Info,10808
Spicejet,2019-06-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-04-01,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Multiple Carriers,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Spicejet,2019-06-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Vistara,2019-06-01,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Multiple Carriers,2019-05-15,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,8266
Indigo,2019-06-27,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-03-09,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,6144
Air India,2019-06-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,12384
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Air India,2019-05-15,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Indigo,2019-03-06,Delhi,Cochin,06:40:00,22:20:00,940,1.0,No Info,6442
Goair,2019-04-15,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5052
Jet Airways,2019-04-09,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,16108
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12898
Spicejet,2019-04-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,In-flight meal not included,9663
Air India,2019-03-06,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,9417
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,8529
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Spicejet,2019-06-15,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373
Indigo,2019-06-06,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,13941
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1.0,No Info,13817
Jet Airways,2019-06-09,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Indigo,2019-06-15,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Multiple Carriers,2019-03-27,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,6673
Multiple Carriers,2019-03-27,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,6953
Indigo,2019-03-15,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2754
Multiple Carriers,2019-06-01,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,11200
Indigo,2019-06-27,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4990
Vistara,2019-05-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7652
Multiple Carriers,2019-06-15,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,12192
Indigo,2019-03-06,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4778
Indigo,2019-05-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-06-09,Kolkata,Banglore,09:50:00,23:15:00,805,3.0,No Info,14960
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,09:10:00,770,1.0,No Info,12312
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,10197
Indigo,2019-05-12,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,13401
Air India,2019-03-27,Delhi,Cochin,13:05:00,07:40:00,1115,2.0,No Info,8892
Air Asia,2019-06-21,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Jet Airways,2019-04-03,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1.0,In-flight meal not included,10031
Spicejet,2019-05-12,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Air Asia,2019-06-27,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,6451
Spicejet,2019-05-01,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,00:45:00,640,1.0,In-flight meal not included,13502
Vistara,2019-03-15,Banglore,New Delhi,06:40:00,10:25:00,1665,1.0,No Info,6590
Vistara,2019-03-15,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,6627
Air India,2019-05-18,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10361
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Spicejet,2019-04-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,4807
Indigo,2019-04-18,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4591
Air India,2019-06-09,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7690
Air India,2019-05-27,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,9653
Jet Airways,2019-06-09,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Multiple Carriers,2019-05-09,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,8266
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,In-flight meal not included,7832
Jet Airways,2019-04-01,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,5406
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,In-flight meal not included,7832
Spicejet,2019-05-12,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,09:30:00,775,1.0,In-flight meal not included,11087
Indigo,2019-06-27,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Vistara,2019-06-15,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Indigo,2019-03-15,Chennai,Kolkata,22:05:00,00:30:00,145,0.0,No Info,6297
Air India,2019-05-24,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,15170
Spicejet,2019-03-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,5831
Indigo,2019-06-03,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5601
Indigo,2019-06-15,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,No Info,12273
Air India,2019-04-01,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,7893
Vistara,2019-06-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-04-15,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Jet Airways,2019-04-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-05-01,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
Air India,2019-06-15,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,9929
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,10197
Air India,2019-05-18,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13243
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,9663
Indigo,2019-03-03,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,6144
Spicejet,2019-06-15,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Multiple Carriers,2019-05-21,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7888
Jet Airways,2019-04-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,5177
Spicejet,2019-03-27,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,1759
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,15554
Indigo,2019-05-27,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Air India,2019-03-03,Banglore,New Delhi,08:15:00,21:25:00,790,1.0,No Info,6781
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,12819
Air Asia,2019-06-06,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,6810
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,5704
Spicejet,2019-05-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,16000
Air India,2019-06-03,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13381
Air India,2019-06-12,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10231
Jet Airways,2019-06-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-03-24,Banglore,New Delhi,08:55:00,09:00:00,1445,1.0,In-flight meal not included,8147
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,10844
Indigo,2019-05-03,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3943
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1.0,In-flight meal not included,10031
Jet Airways,2019-03-21,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,No Info,12767
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,14714
Indigo,2019-05-06,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Air India,2019-03-03,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,6092
Multiple Carriers,2019-05-21,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,14067
Indigo,2019-06-15,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,13014
Indigo,2019-05-06,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-06-15,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Air India,2019-04-03,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,5176
Multiple Carriers,2019-06-06,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7005
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,23:25:00,1015,1.0,No Info,13339
Air India,2019-03-18,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5674
Air India,2019-03-03,Banglore,New Delhi,00:30:00,08:45:00,495,1.0,No Info,11392
Spicejet,2019-05-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14571
Air India,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,10979
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,11:25:00,1280,1.0,In-flight meal not included,7832
Indigo,2019-06-06,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,6582
Indigo,2019-05-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-09,Delhi,Cochin,05:25:00,04:25:00,1380,2.0,No Info,16914
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Vistara,2019-03-09,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,7266
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,14486
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,975,1.0,In-flight meal not included,11134
Air Asia,2019-05-12,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Indigo,2019-06-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Jet Airways,2019-06-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
